ID,latitude,longitude,suburb,municipality
4640,-37.84475,144.94404,Port Melbourne,City of Port Phillip
4641,-37.83434,144.98656,South Yarra,City of Melbourne
4642,-37.81315,144.95477,Melbourne,City of Melbourne
4643,-37.62919,144.71723,Diggers Rest,City of Melton
4644,-37.81063,144.95838,Melbourne,City of Melbourne
4645,-37.81603,144.95316,Melbourne,City of Melbourne
4646,-37.84128,144.97652,Melbourne,City of Port Phillip
4647,-37.75953,145.11415,Templestowe Lower,City of Manningham
4648,-37.81271,144.99194,Richmond,City of Yarra
4649,-37.7833,144.98384,Fitzroy North,City of Yarra
4650,-37.66259,145.50863,Healesville,Shire of Yarra Ranges
4651,-37.62939,144.88139,Greenvale,City of Hume
4652,-37.86434,145.00249,St Kilda East,City of Port Phillip
4653,-37.77088,144.98017,Brunswick East,City of Merri-bek
4654,-37.81265,144.99132,Richmond,City of Yarra
4655,-37.77227,144.98143,Brunswick East,City of Merri-bek
4656,-37.7709,144.98001,Brunswick East,City of Merri-bek
4657,-37.77293,144.98122,Brunswick East,City of Merri-bek
